Region,Population,Year,Age,65 and over,Generation
"Total, New Zealand",294700,1996,0-4 Years,False,Millennial
"Total, New Zealand",305030,2018,0-4 Years,False,Other
"Total, New Zealand",301870,2023,0-4 Years,False,Other
"Total, New Zealand",311930,2013,0-4 Years,False,Other
"Total, New Zealand",281000,2001,0-4 Years,False,Gen Z
"Total, New Zealand",286000,2006,0-4 Years,False,Gen Z
"Total, New Zealand",327910,2018,5-9 Years,False,Other
"Total, New Zealand",323280,2023,5-9 Years,False,Other
"Total, New Zealand",300070,2013,5-9 Years,False,Gen Z
"Total, New Zealand",295470,2001,5-9 Years,False,Millennial
"Total, New Zealand",295840,1996,5-9 Years,False,Millennial
"Total, New Zealand",291880,2006,5-9 Years,False,Gen Z
"Total, New Zealand",313510,2018,10-14 Years,False,Gen Z
"Total, New Zealand",343130,2023,10-14 Years,False,Other
"Total, New Zealand",296770,2013,10-14 Years,False,Gen Z
"Total, New Zealand",300740,2001,10-14 Years,False,Millennial
"Total, New Zealand",269000,1996,10-14 Years,False,Millennial
"Total, New Zealand",310430,2006,10-14 Years,False,Millennial
"Total, New Zealand",317350,2018,15-19 Years,False,Gen Z
"Total, New Zealand",312480,2013,15-19 Years,False,Gen Z
"Total, New Zealand",327180,2023,15-19 Years,False,Gen Z
"Total, New Zealand",277620,2001,15-19 Years,False,Millennial
"Total, New Zealand",270830,1996,15-19 Years,False,Millennial
"Total, New Zealand",313560,2006,15-19 Years,False,Millennial
"Total, New Zealand",340080,2018,20-24 Years,False,Gen Z
"Total, New Zealand",326740,2023,20-24 Years,False,Gen Z
"Total, New Zealand",314920,2013,20-24 Years,False,Millennial
"Total, New Zealand",255630,2001,20-24 Years,False,Millennial
"Total, New Zealand",280320,1996,20-24 Years,False,Gen X
"Total, New Zealand",291180,2006,20-24 Years,False,Millennial
"Total, New Zealand",371190,2018,25-29 Years,False,Millennial
"Total, New Zealand",356730,2023,25-29 Years,False,Gen Z
"Total, New Zealand",277490,2013,25-29 Years,False,Millennial
"Total, New Zealand",257240,2001,25-29 Years,False,Gen X
"Total, New Zealand",284860,1996,25-29 Years,False,Gen X
"Total, New Zealand",260370,2006,25-29 Years,False,Millennial
"Total, New Zealand",338220,2018,30-34 Years,False,Millennial
"Total, New Zealand",403660,2023,30-34 Years,False,Millennial
"Total, New Zealand",271090,2013,30-34 Years,False,Millennial
"Total, New Zealand",291640,2001,30-34 Years,False,Gen X
